Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 10Mar2015,72274,4.06,44.99,13.70,44.40,0.00,0.00,0.00,264.95
12Z 11Mar2015,72274,7.64,34.01,5.70,35.80,0.00,0.00,0.00,263.48
12Z 13Mar2015,72274,-0.03,116.79,29.50,53.00,0.00,0.00,0.00,272.55
12Z 14Mar2015,72274,2.38,75.99,19.70,48.20,0.00,0.00,0.00,267.48
12Z 15Mar2015,72274,13.32,96.99,6.90,26.60,0.00,0.00,0.00,265.89
12Z 16Mar2015,72274,7.07,56.99,14.30,38.80,0.00,0.00,0.00,263.85
12Z 17Mar2015,72274,3.48,89.21,28.30,44.20,0.00,0.00,0.00,275.75
12Z 18Mar2015,72274,2.62,65.19,27.50,46.80,9.70,1.00,1.14,276.43
12Z 19Mar2015,72274,0.91,131.21,32.00,50.40,139.69,6.03,7.56,280.89
12Z 20Mar2015,72274,-0.10,148.60,31.70,53.20,4.58,4.23,5.46,279.35
12Z 21Mar2015,72274,0.02,139.21,29.70,52.20,36.12,2.42,4.58,278.21
12Z 22Mar2015,72274,6.00,35.00,15.10,40.80,0.00,0.00,0.00,272.72
12Z 23Mar2015,72274,8.20,60.99,-21.90,35.60,0.00,0.00,0.00,269.22
12Z 24Mar2015,72274,10.55,41.01,-12.30,28.20,0.00,0.00,0.00,262.10
12Z 25Mar2015,72274,7.36,55.01,7.90,38.20,0.00,0.00,0.00,267.03
12Z 26Mar2015,72274,4.89,28.01,7.70,42.60,0.00,0.00,0.00,267.18
12Z 27Mar2015,72274,5.42,23.99,-8.10,40.20,0.00,0.00,0.00,263.41
12Z 28Mar2015,72274,6.69,38.00,-14.70,36.00,0.00,0.00,0.00,263.26
12Z 29Mar2015,72274,4.77,49.01,4.50,39.20,0.00,0.00,0.00,262.02
12Z 30Mar2015,72274,1.30,34.98,17.30,48.80,0.00,0.00,0.00,265.72
12Z 01Apr2015,72274,3.15,66.60,23.50,45.40,0.00,0.00,0.00,277.51
12Z 02Apr2015,72274,13.05,69.02,-29.70,22.80,0.00,0.00,0.00,256.80
12Z 03Apr2015,72274,11.44,56.00,-20.50,28.20,0.00,0.00,0.00,264.20
12Z 04Apr2015,72274,8.13,50.99,-26.50,35.40,0.00,0.00,0.00,263.18
12Z 05Apr2015,72274,12.51,54.99,-18.70,26.40,0.00,0.00,0.00,261.65
12Z 06Apr2015,72274,11.37,67.00,-6.10,26.00,0.00,0.00,0.00,250.78
12Z 07Apr2015,72274,11.64,54.99,-21.10,25.80,0.00,0.00,0.00,256.87
12Z 08Apr2015,72274,8.41,62.98,17.90,36.40,0.00,0.00,0.00,261.73
12Z 09Apr2015,72274,11.19,56.99,-13.10,31.80,0.00,0.00,0.00,266.12
12Z 10Apr2015,72274,10.53,53.98,-12.10,30.40,0.00,0.00,0.00,260.94
12Z 11Apr2015,72274,6.40,51.01,14.50,40.00,0.00,0.00,0.00,266.40
12Z 12Apr2015,72274,0.35,138.39,33.30,50.20,187.79,12.88,15.26,280.40
12Z 13Apr2015,72274,-0.43,195.01,10.70,51.20,0.00,0.00,0.00,280.23
12Z 14Apr2015,72274,3.22,48.99,19.90,46.00,0.00,0.00,0.00,271.68
12Z 15Apr2015,72274,4.63,77.99,16.10,41.80,0.00,0.00,0.00,266.50
12Z 16Apr2015,72274,12.01,79.99,-24.30,27.20,0.00,0.00,0.00,251.66
12Z 17Apr2015,72274,7.76,58.99,1.10,36.80,0.00,0.00,0.00,255.70
12Z 18Apr2015,72274,6.82,40.02,12.50,38.20,0.00,0.00,0.00,261.52
12Z 19Apr2015,72274,4.34,51.01,10.10,43.00,0.00,0.00,0.00,263.71
12Z 20Apr2015,72274,3.90,21.99,8.90,43.60,0.00,0.00,0.00,262.41
12Z 21Apr2015,72274,4.41,50.00,14.50,43.40,0.00,0.00,0.00,265.13
12Z 22Apr2015,72274,4.41,50.00,4.50,44.20,0.00,0.00,0.00,268.37
12Z 23Apr2015,72274,1.61,67.98,24.90,49.80,0.00,0.00,0.00,271.49
12Z 24Apr2015,72274,0.88,126.41,23.90,52.40,8.58,0.39,0.55,275.02
