Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 27Oct2015,72274,6.40,81.40,5.30,38.20,0.00,0.00,0.00,278.86

12Z 28Oct2015,72274,5.22,44.79,-4.50,41.20,0.00,0.00,0.00,274.48

12Z 29Oct2015,72274,-3.03,294.81,38.90,55.80,233.34,31.47,36.53,279.49

12Z 30Oct2015,72274,0.40,145.38,32.20,52.00,2.21,0.01,0.04,279.83

12Z 01Nov2015,72274,7.42,48.60,1.10,37.60,0.00,0.00,0.00,275.56

12Z 02Nov2015,72274,7.05,21.00,-7.90,38.00,0.00,0.00,0.00,274.71

12Z 03Nov2015,72274,1.44,269.48,7.90,48.00,0.00,0.00,0.00,276.70

12Z 04Nov2015,72274,-1.27,297.21,35.80,53.30,193.17,0.86,1.14,282.98

12Z 05Nov2015,72274,10.11,127.02,15.90,36.70,0.00,0.00,0.00,275.86

12Z 06Nov2015,72274,11.05,47.98,-18.90,32.20,0.00,0.00,0.00,272.22

12Z 07Nov2015,72274,7.76,34.01,10.50,38.00,0.00,0.00,0.00,273.72

12Z 08Nov2015,72274,8.47,215.51,7.30,35.80,0.00,0.00,0.00,269.90

12Z 09Nov2015,72274,9.53,46.00,-9.10,33.60,0.00,0.00,0.00,268.27

12Z 10Nov2015,72274,7.96,86.01,-4.70,37.80,0.00,0.00,0.00,270.54

12Z 11Nov2015,72274,18.62,98.02,-15.70,19.20,0.00,0.00,0.00,267.46

12Z 12Nov2015,72274,14.84,49.98,-38.10,22.20,0.00,0.00,0.00,264.26

12Z 13Nov2015,72274,12.63,58.00,-23.90,25.80,0.00,0.00,0.00,260.12

12Z 14Nov2015,72274,8.71,57.98,-0.50,34.00,0.00,0.00,0.00,261.21

12Z 15Nov2015,72274,4.03,119.42,31.10,43.80,0.00,0.00,0.00,274.43

12Z 16Nov2015,72274,1.13,314.42,31.60,50.30,126.27,0.73,0.90,279.75

12Z 17Nov2015,72274,10.59,81.99,5.90,36.20,0.00,0.00,0.00,265.74

12Z 18Nov2015,72274,18.09,84.01,-6.50,20.00,0.00,0.00,0.00,267.88

12Z 19Nov2015,72274,15.53,24.98,-34.50,21.60,0.00,0.00,0.00,270.08

12Z 20Nov2015,72274,11.92,30.01,-8.30,28.00,0.00,0.00,0.00,267.13

12Z 21Nov2015,72274,9.54,58.00,-18.30,32.80,0.00,0.00,0.00,269.42

12Z 22Nov2015,72274,9.80,50.00,-0.10,33.00,0.00,0.00,0.00,265.59

12Z 23Nov2015,72274,8.71,40.99,-4.90,34.40,0.00,0.00,0.00,266.36

12Z 24Nov2015,72274,10.20,45.98,-6.30,32.40,0.00,0.00,0.00,267.81

12Z 25Nov2015,72274,7.14,80.01,21.30,37.60,0.00,0.00,0.00,264.20

12Z 26Nov2015,72274,1.71,171.40,7.20,47.30,0.00,0.00,0.00,278.68

12Z 27Nov2015,72274,5.77,118.40,-22.30,43.00,0.00,0.00,0.00,269.74

12Z 28Nov2015,72274,11.16,65.99,-16.50,33.80,0.00,0.00,0.00,267.05

12Z 29Nov2015,72274,10.92,63.99,-17.30,33.20,0.00,0.00,0.00,267.72

12Z 30Nov2015,72274,15.82,61.99,-23.70,24.40,0.00,0.00,0.00,265.71

12Z 01Dec2015,72274,11.65,56.99,-9.90,30.00,0.00,0.00,0.00,262.11

12Z 02Dec2015,72274,12.57,48.99,-27.30,24.60,0.00,0.00,0.00,260.52

12Z 03Dec2015,72274,16.22,53.01,-42.90,10.40,0.00,0.00,0.00,254.71

12Z 04Dec2015,72274,11.87,47.98,-6.30,24.00,0.00,0.00,0.00,256.86

12Z 05Dec2015,72274,8.38,48.00,-4.10,36.00,0.00,0.00,0.00,260.61

12Z 06Dec2015,72274,9.92,62.98,-25.70,31.60,0.00,0.00,0.00,261.34

12Z 07Dec2015,72274,9.74,46.99,-32.30,27.80,0.00,0.00,0.00,259.95

12Z 08Dec2015,72274,10.44,20.01,-27.10,30.20,0.00,0.00,0.00,263.86

12Z 09Dec2015,72274,14.06,24.98,-0.50,22.20,0.00,0.00,0.00,261.92

12Z 10Dec2015,72274,10.89,28.01,-4.50,30.20,0.00,0.00,0.00,264.07

12Z 11Dec2015,72274,9.92,199.35,-1.30,32.00,0.00,0.00,0.00,265.19

12Z 12Dec2015,72274,4.52,80.01,24.70,49.10,0.00,0.00,0.00,276.06

12Z 13Dec2015,72274,17.45,95.01,-28.90,23.00,0.00,0.00,0.00,265.77

12Z 14Dec2015,72274,12.73,242.31,1.70,28.20,0.00,0.00,0.00,263.65

12Z 15Dec2015,72274,13.69,106.00,4.90,31.40,0.00,0.00,0.00,265.66

12Z 16Dec2015,72274,8.44,43.98,-0.70,41.00,0.00,0.00,0.00,264.90

12Z 17Dec2015,72274,13.29,51.01,-15.70,32.20,0.00,0.00,0.00,267.54

12Z 18Dec2015,72274,15.59,39.01,-11.90,18.60,0.00,0.00,0.00,262.95

12Z 19Dec2015,72274,9.36,44.00,-0.90,31.20,0.00,0.00,0.00,259.55

12Z 20Dec2015,72274,8.23,90.00,-9.30,39.00,0.00,0.00,0.00,267.64

12Z 21Dec2015,72274,9.71,82.01,9.00,36.10,0.00,0.00,0.00,274.86

12Z 22Dec2015,72274,11.64,52.99,13.70,32.00,0.00,0.00,0.00,272.72

12Z 23Dec2015,72274,8.66,143.61,24.70,35.70,0.19,0.00,0.00,277.62

12Z 24Dec2015,72274,7.76,165.21,19.90,36.80,54.87,0.34,0.42,280.48

12Z 25Dec2015,72274,3.00,305.37,-4.50,46.80,0.00,0.00,0.00,278.78

12Z 26Dec2015,72274,6.79,86.01,5.90,44.00,0.00,0.00,0.00,259.33

12Z 27Dec2015,72274,11.04,63.00,4.50,36.60,0.00,0.00,0.00,260.38

12Z 28Dec2015,72274,14.30,61.99,-2.10,29.00,0.00,0.00,0.00,265.75

12Z 29Dec2015,72274,7.33,48.00,4.50,42.60,0.00,0.00,0.00,263.94

12Z 30Dec2015,72274,14.25,58.97,-6.30,30.20,0.00,0.00,0.00,270.21
