anio,mes,dia,hora(utc),altura(mm)
2016,1,10,0,1275 
2016,1,10,1,173 
2016,1,10,2,-521 
2016,1,10,3,-730 
2016,1,10,4,-484 
2016,1,10,5,293 
2016,1,10,6,1567 
2016,1,10,7,2965 
2016,1,10,8,4057 
2016,1,10,9,4632 
2016,1,10,10,4614 
2016,1,10,11,4001 
2016,1,10,12,2927 
2016,1,10,13,1693 
2016,1,10,14,659 
2016,1,10,15,56 
2016,1,10,16,-62 
2016,1,10,17,349 
2016,1,10,18,1288 
2016,1,10,19,2469 
2016,1,10,20,3439 
2016,1,10,21,3911 
2016,1,10,22,3800 
2016,1,10,23,3115 
2016,1,11,0,1990 
2016,1,11,1,739 
2016,1,11,2,-251 
2016,1,11,3,-744 
2016,1,11,4,-745 
2016,1,11,5,-262 
2016,1,11,6,782 
2016,1,11,7,2218 
2016,1,11,8,3569 
2016,1,11,9,4453 
2016,1,11,10,4758 
2016,1,11,11,4456 
2016,1,11,12,3585 
2016,1,11,13,2361 
2016,1,11,14,1145 
2016,1,11,15,268 
2016,1,11,16,-124 
2016,1,11,17,-16 
2016,1,11,18,629 
2016,1,11,19,1732 
2016,1,11,20,2910 
2016,1,11,21,3719 
2016,1,11,22,3961 
2016,1,11,23,3616 
2016,1,12,0,2736 
2016,1,12,1,1521 
2016,1,12,2,332 
2016,1,12,3,-484 
2016,1,12,4,-778 
2016,1,12,5,-580 
2016,1,12,6,128 
2016,1,12,7,1355 
2016,1,12,8,2801 
2016,1,12,9,3976 
2016,1,12,10,4609 
2016,1,12,11,4661 
2016,1,12,12,4122 
2016,1,12,13,3085 
2016,1,12,14,1835 
2016,1,12,15,735 
2016,1,12,16,47 
2016,1,12,17,-144 
2016,1,12,18,165 
2016,1,12,19,980 
2016,1,12,20,2130 
2016,1,12,21,3192 
2016,1,12,22,3799 
2016,1,12,23,3842 
2016,1,13,0,3338 
2016,1,13,1,2371 
2016,1,13,2,1187 
2016,1,13,3,136 
2016,1,13,4,-498 
2016,1,13,5,-617 
2016,1,13,6,-247 
2016,1,13,7,613 
2016,1,13,8,1878 
2016,1,13,9,3187 
2016,1,13,10,4126 
2016,1,13,11,4530 
2016,1,13,12,4382 
2016,1,13,13,3690 
2016,1,13,14,2606 
2016,1,13,15,1439 
2016,1,13,16,498 
2016,1,13,17,-14 
2016,1,13,18,-37 
2016,1,13,19,416 
2016,1,13,20,1295 
2016,1,13,21,2374 
2016,1,13,22,3262 
2016,1,13,23,3696 
2016,1,14,0,3625 
2016,1,14,1,3069 
2016,1,14,2,2133 
2016,1,14,3,1067 
2016,1,14,4,183 
2016,1,14,5,-288 
2016,1,14,6,-272 
2016,1,14,7,198 
2016,1,14,8,1079 
2016,1,14,9,2231 
2016,1,14,10,3318 
2016,1,14,11,4031 
2016,1,14,12,4262 
2016,1,14,13,3992 
2016,1,14,14,3256 
2016,1,14,15,2240 
2016,1,14,16,1214 
2016,1,14,17,425 
2016,1,14,18,52 
2016,1,14,19,143 
2016,1,14,20,646 
2016,1,14,21,1470 
2016,1,14,22,2400 
2016,1,14,23,3131 
2016,1,15,0,3478 
2016,1,15,1,3397 
2016,1,15,2,2897 
2016,1,15,3,2084 
2016,1,15,4,1187 
2016,1,15,5,466 
2016,1,15,6,118 
2016,1,15,7,200 
2016,1,15,8,652 
2016,1,15,9,1412 
2016,1,15,10,2352 
2016,1,15,11,3208 
2016,1,15,12,3747 
2016,1,15,13,3879 
2016,1,15,14,3584 
2016,1,15,15,2916 
2016,1,15,16,2039 
2016,1,15,17,1155 
2016,1,15,18,483 
2016,1,15,19,200 
2016,1,15,20,321 
2016,1,15,21,760 
2016,1,15,22,1442 
2016,1,15,23,2220 
2016,1,16,0,2868 
2016,1,16,1,3227 
2016,1,16,2,3230 
2016,1,16,3,2872 
2016,1,16,4,2242 
2016,1,16,5,1526 
2016,1,16,6,936 
2016,1,16,7,645 
2016,1,16,8,688 
2016,1,16,9,999 
2016,1,16,10,1545 
2016,1,16,11,2252 
2016,1,16,12,2920 
2016,1,16,13,3358 
2016,1,16,14,3480 
2016,1,16,15,3260 
2016,1,16,16,2733 
2016,1,16,17,2005 
2016,1,16,18,1230 
2016,1,16,19,628 
2016,1,16,20,363 
2016,1,16,21,412 
2016,1,16,22,699 
2016,1,16,23,1224 
2016,1,17,0,1913 
2016,1,17,1,2566 
2016,1,17,2,3017 
2016,1,17,3,3174 
2016,1,17,4,3010 
2016,1,17,5,2582 
2016,1,17,6,2019 
2016,1,17,7,1496 
2016,1,17,8,1167 
2016,1,17,9,1065 
2016,1,17,10,1158 
2016,1,17,11,1473 
2016,1,17,12,1989 
2016,1,17,13,2541 
