PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
 56.4,19812,-63.3,-92.2,1, 0.00,270, 27,477.1,477.1,477.1
 56.0,19856,-62.9,-91.9,1, 0.00,272, 26,479.1,479.1,479.1
 50.0,20550,-64.1,-93.1,1, 0.00,305, 18,492.0,492.0,492.0
 48.6,20726,-64.5,-93.5,1, 0.00,310, 22,495.1,495.1,495.1
 48.0,20800,-64.7,-93.7,1, 0.00,308, 21,496.4,496.4,496.4
 46.6,20982,-61.9,-91.9,1, 0.00,302, 19,507.3,507.3,507.3
 44.2,21310,-61.1,-92.1,1, 0.00,291, 14,517.0,517.0,517.0
 44.0,21336,-61.2,-92.2,1, 0.00,290, 14,517.2,517.2,517.2
 39.9,21946,-64.7,-94.7,1, 0.00,240, 13,523.5,523.6,523.5
 39.8,21955,-64.7,-94.7,1, 0.00,240, 13,523.6,523.6,523.6
 36.4,22500,-65.3,-94.3,1, 0.00,267, 15,535.6,535.6,535.6
 36.1,22555,-64.9,-94.0,1, 0.00,270, 15,537.9,538.0,537.9
 34.4,22860,-62.9,-92.6,1, 0.00,250, 21,550.9,550.9,550.9
 31.1,23470,-58.8,-89.6,1, 0.00,245, 18,577.6,577.7,577.6
 30.6,23575,-58.1,-89.1,1, 0.00,236, 18,582.4,582.4,582.4
 30.0,23700,-58.3,-89.3,1, 0.00,225, 18,585.1,585.2,585.1
 29.6,23774,-58.4,-89.4,1, 0.00,220, 19,586.9,587.0,586.9
 28.2,24079,-58.6,-89.6,1, 0.00,230, 29,594.5,594.5,594.5
 27.6,24225,-58.7,-89.7,1, 0.00,242, 30,598.1,598.1,598.1
 26.9,24384,-56.5,-88.2,1, 0.01,255, 32,608.5,608.6,608.5
 26.6,24459,-55.5,-87.5,1, 0.01,253, 32,613.5,613.5,613.5
 25.0,24856,-54.7,-86.7,1, 0.01,242, 35,626.7,626.8,626.7
 23.5,25255,-51.5,-84.5,1, 0.01,231, 38,647.3,647.4,647.3
